Unique_ID,AnimalName,AnimalClass,AnimalBreed,AnimalColour,AnimalGender,AnimalDesexed,locality,OBJECTID
15086,Smoki,Desexed/Microchipped,Heeler,Grey & White,M,Y,CLEARVIEW,14086
15087,Mimco,Desexed/Microchipped,West Highland Terrier,White,F,Y,HILLCREST,14087
15088,Paris,Desexed/Microchipped,Schnauzer,Salt & Pepper,M,Y,HILLCREST,14088
15089,Mikey,Desexed/Microchipped,Beagle,Tri Colour,M,Y,OTTOWAY,14089
15090,Diesel,Desexed/Microchipped,Spoodle,Black,M,Y,QUEENSTOWN,14090
15091,lexie,Desexed/Pension/Microchipped,Dachshund,Red,F,Y,CLEARVIEW,14091
15092,Penny,Desexed/Microchipped,Greyhound,Tan & White,F,Y,EXETER,14092
15093,Chilli,Desexed/Microchipped,Mastiff,Black,M,Y,EXETER,14093
15094,Clyde,Desexed/Pension/Microchipped,Shih Tzu,Brown,M,Y,BROADVIEW,14094
15095,Aysiah,Pension/Microchipped,Border Collie,Red & White,F,N,WOODVILLE GARDENS,14095
15096,Chynah Doll,Desexed/Microchipped,Maltese,White,F,Y,WOODVILLE GARDENS,14096
15097,Bessie,Desexed/Microchipped,Shetland Sheepdog (Sheltie),White & Brown & Black,M,Y,BIRKENHEAD,14097
15098,Pepper,Desexed/Microchipped,Spoodle,Black & Caramel,M,Y,BIRKENHEAD,14098
15099,Mildred,Desexed/Microchipped,British Bulldog,Red & White,F,Y,BIRKENHEAD,14099
15100,Kelly,Desexed/Microchipped,Kelpie,Black,F,Y,TAPEROO,14100
15101,Germma,Microchipped,Staffordshire Bull Terrier,Brindle,F,N,ENFIELD,14101
15102,Gypsy,Desexed/Concession/Microchipped,Maltese,White & Tan,F,Y,WINDSOR GARDENS,14102
15103,NIKI,Desexed,Maltese,Unknown,F,Y,CROYDON PARK,14103
15104,Congo,Desexed/Microchipped,Shar Pei,Gold,M,Y,CROYDON PARK,14104
15105,Chloe,Standard,Jack Russell Terrier,White & Tan,F,N,CLEARVIEW,14105
15106,Gollum,Desexed/Microchipped,Labrador,Black,M,Y,SEMAPHORE,14106
15107,Marmite,Desexed/Microchipped,Labrador,Black,M,Y,BLAIR ATHOL,14107
15108,Frodo,Desexed/Pension/Microchipped,Cavalier King Charles Spaniel,Black,M,Y,KILBURN,14108
15109,Manuel/ Mannie,Desexed/Microchipped,Border Collie,Black & White,M,Y,CROYDON PARK,14109
15110,Nelson,Desexed/Microchipped/Obedience,Jack Russell Terrier,White,M,Y,CROYDON PARK,14110
15111,Addicus,Desexed/Microchipped,Shepherd,Blue Merle,M,Y,BROADVIEW,14111
15112,Boomer,Desexed/Microchipped,Retriever - Curly Coated,Black,F,Y,BROADVIEW,14112
15113,Dakota,Desexed/Microchipped,Staffordshire Bull Terrier,Black,F,Y,GREENACRES,14113
15114,Rain,Desexed/Microchipped,Staffordshire Bull Terrier,Tan,M,Y,GREENACRES,14114
15115,DJ,Desexed/Microchipped,Kelpie,Black & Tan,M,Y,KLEMZIG,14115
15116,Maybel,Desexed/Microchipped,English Toy Terrier,Unknown,F,Y,ETHELTON,14116
15117,Pippi,Desexed/Microchipped,Terrier,Tan & Black,F,Y,ETHELTON,14117
15118,Duchess,Concession/Microchipped,Spoodle,Blenheim,F,N,WINDSOR GARDENS,14118
15119,Klebe,Desexed/Microchipped,Maltese,White,M,Y,ENFIELD,14119
15120,Sabah,Desexed/Microchipped,Maltese,Black & White,F,Y,ENFIELD,14120
15121,Bailey,Desexed/Microchipped,Poodle,Apricot,M,Y,KLEMZIG,14121
15122,Cougar,Desexed/Microchipped,Poodle,Black,M,Y,KLEMZIG,14122
15123,Bo,Desexed/Microchipped,Kelpie,Black & Tan & Brown,F,Y,ALBERTON,14123
15124,Lucky,Microchipped,American Staffordshire Bull Terrier,White,F,N,ALBERTON,14124
15125,Mila,Desexed/Microchipped,Kelpie,Black,F,Y,ALBERTON,14125
15126,Oliver,Standard,Cocker Spaniel,Brown & White,M,N,CLEARVIEW,14126
15127,Shira,Desexed,Shih Tzu,White,F,Y,CLEARVIEW,14127
15128,Ikey,Greyhound,Greyhound,Black,M,Y,BLAIR ATHOL,14128
15129,Monmo,Desexed/Pension/Microchipped,Lhasa Apso,Gold,M,Y,BLAIR ATHOL,14129
15130,Carter,Desexed/Pension/Microchipped,Maltese,Brown,M,Y,NORTHFIELD,14130
15131,Patch,Desexed/Pension/Microchipped,Chihuahua,Black,M,Y,KLEMZIG,14131
15132,Troy,Desexed/Pension/Microchipped,Belgian Sheepdog,Tan & Black,M,Y,KLEMZIG,14132
15133,Phebe,Desexed,Cocker Spaniel,Black & White,F,Y,SEMAPHORE SOUTH,14133
15134,Maggie,Desexed/Microchipped,English Staffordshire Bull Terrier,Black & White & Brindle,F,Y,SEMAPHORE SOUTH,14134
15135,Lucas,Desexed/Microchipped,Bichon Frise,White,M,Y,KLEMZIG,14135
15136,Peachy,Standard,Chihuahua,White,F,N,DUDLEY PARK,14136
15137,Scarlet,Desexed/Microchipped,Kelpie,Red,F,Y,ENFIELD,14137
